,agent,time,assesment
78,38,1,0.6393725709221353
79,39,1,0.6591538559540336
80,0,2,0.23711512837754875
81,1,2,0.2687457767052304
82,2,2,0.2683585317072243
83,3,2,0.13495353051947387
84,4,2,0.6448544328014211
85,5,2,0.5646366376001479
86,6,2,0.7913385721161531
87,7,2,0.2903557035286438
88,8,2,0.12153877924071776
89,9,2,0.6326958873121359
90,10,2,0.6444122833328101
91,11,2,0.2756682113331591
92,12,2,0.12177798145248253
93,13,2,0.7586279846069391
94,14,2,0.8246260621427277
95,15,2,0.43722883991298933
96,16,2,0.8282761606467226
97,17,2,0.6656996020802435
98,18,2,0.8518649429516215
99,19,2,0.6683708186083308
100,20,2,0.8698358769813266
101,21,2,0.15052446854761292
102,22,2,0.8510377061467528
103,23,2,0.6333327539936544
104,24,2,0.3123696982748157
105,25,2,0.5886726884311811
106,26,2,0.11910293648495375
107,27,2,0.6487840861697547
108,28,2,0.6298608265425085
109,29,2,0.7118806867099108
110,30,2,0.8506089956906213
111,31,2,0.12325203956509966
112,32,2,0.29887430906740275
113,33,2,0.16556242478395633
114,34,2,0.28856631819753376
115,35,2,0.24612384646067198
116,36,2,0.6523291128168445
117,37,2,0.3452080301683542
118,38,2,0.6338276970275006
119,39,2,0.6513688732464701
120,0,3,0.24808895811137494
121,1,3,0.27204606542149756
122,2,3,0.27171522984200586
123,3,3,0.15597457749139312
124,4,3,0.6325847314608974
125,5,3,0.6063155259672836
126,6,3,0.7781546550132774
127,7,3,0.2831329857997529
128,8,3,0.13209621526452575
129,9,3,0.635951970689151
130,10,3,0.6435984045637048
131,11,3,0.2839232004366394
132,12,3,0.13662978529774766
133,13,3,0.7771674371362172
134,14,3,0.8038704270149849
135,15,3,0.42306631318708443
136,16,3,0.808546805903447
137,17,3,0.6619815752127903
138,18,3,0.8149578339997581
139,19,3,0.6590126640853807
140,20,3,0.8317753918804589
141,21,3,0.16501516724022688
142,22,3,0.8249860643412437
143,23,3,0.638744674563204
144,24,3,0.297538067729825
145,25,3,0.6118568132859813
146,26,3,0.14645505664530692
147,27,3,0.6320999730107055
148,28,3,0.6296889299994467
149,29,3,0.6843917560717051
150,30,3,0.8200120027932122
151,31,3,0.14927965504334006
152,32,3,0.2944068128517508
153,33,3,0.1895216960450441
154,34,3,0.2829235604976405
155,35,3,0.26992392346613375
156,36,3,0.6406906213265339
157,37,3,0.30799930212600474
158,38,3,0.6349346876086615
159,39,3,0.6377030234022227
160,0,4,0.2568081757078268
161,1,4,0.2788930421860226
162,2,4,0.27503456147477134
163,3,4,0.16929437135021308
164,4,4,0.6267644839221177
165,5,4,0.6218450581116262
166,6,4,0.7623176707027522
167,7,4,0.27793029766913735
168,8,4,0.15885328513959412
169,9,4,0.6361600868200045
170,10,4,0.64089973369506
171,11,4,0.2858971805606103
172,12,4,0.15378494931989084
173,13,4,0.762583427377314
174,14,4,0.7850454367418473
175,15,4,0.42378511203623614
176,16,4,0.7809260268594279
177,17,4,0.652660773111439
178,18,4,0.8039317450390447
179,19,4,0.6503687343975398
180,20,4,0.7981984633094423
181,21,4,0.1771542276260764
182,22,4,0.8026068074366474
183,23,4,0.6290695198168812
184,24,4,0.29941863748427705
185,25,4,0.6195929476331136
186,26,4,0.16183877419481965
187,27,4,0.6274855949196311
188,28,4,0.6383532283745041
189,29,4,0.6624541229137483
190,30,4,0.8039942283245103
191,31,4,0.17334713993337453
192,32,4,0.29408261829715127
193,33,4,0.2190714784350636
194,34,4,0.27174478525761014
195,35,4,0.27027068277392535
196,36,4,0.6316284043933285
197,37,4,0.2946102696307958
198,38,4,0.634757119790338
199,39,4,0.6294670671027229
200,0,5,0.2439289833164264
201,1,5,0.27305668499878677
202,2,5,0.269755380417168
203,3,5,0.18750503396134804
204,4,5,0.6355921051416029
205,5,5,0.6185350858348895
206,6,5,0.7436830440987924
207,7,5,0.2749594075403828
208,8,5,0.18124515445189573
209,9,5,0.6399667220502626
210,10,5,0.6339239343032059
211,11,5,0.26970040649890187
212,12,5,0.17309517291548307
213,13,5,0.7483876005255202
214,14,5,0.7627707550289987
215,15,5,0.42923369617317364
216,16,5,0.7625703173656672
217,17,5,0.6488409427048729
218,18,5,0.7754943556704659
219,19,5,0.6390209003708065
220,20,5,0.7814631503612334
221,21,5,0.20886259067867982
222,22,5,0.7905845288177468
223,23,5,0.6383732220631991
224,24,5,0.2824087781061814
225,25,5,0.6182194634578855
226,26,5,0.19036626667983358
227,27,5,0.638590259422474
228,28,5,0.6241418879932725
229,29,5,0.6588624306903501
230,30,5,0.7738060661790602
231,31,5,0.208678025425153
232,32,5,0.29097672447106515
233,33,5,0.23829945672722624
234,34,5,0.260519963017052
235,35,5,0.2633835546877344
236,36,5,0.6275408345147069
237,37,5,0.28471335901807077
238,38,5,0.6240368871385966
239,39,5,0.6275837502015976
240,0,6,0.2541909953854994
241,1,6,0.2395192820644512
242,2,6,0.24674164805464402
243,3,6,0.2401074104695431
244,4,6,0.628256088703897
245,5,6,0.6213211179613712
246,6,6,0.729242477729644
247,7,6,0.2457880237776308
248,8,6,0.234452322588244
249,9,6,0.6307075049854568
250,10,6,0.6281811633929084
251,11,6,0.24197125947127118
252,12,6,0.2322738980692382
253,13,6,0.730394846995959
254,14,6,0.7483925695447008
255,15,6,0.41762981132452653
256,16,6,0.7560620703941108
257,17,6,0.6480637697966679
258,18,6,0.7543563017435442
259,19,6,0.6388822358765182
260,20,6,0.7577251084475574
261,21,6,0.24295195981166015
262,22,6,0.7603009725928236
263,23,6,0.6334045510197414
264,24,6,0.2620435079586589
265,25,6,0.6179834825979218
266,26,6,0.24912829026022565
267,27,6,0.62618131347754
268,28,6,0.6361164485949582
269,29,6,0.654703374692288
270,30,6,0.7543954997394408
271,31,6,0.24125952948480592
272,32,6,0.27821238613327953
273,33,6,0.24026479872929554
274,34,6,0.2433966995028028
275,35,6,0.24322833266289035
276,36,6,0.6254495864197183
277,37,6,0.26670354752298264
278,38,6,0.6261003378444026
279,39,6,0.63698489414341
280,0,7,0.24728998931139287
281,1,7,0.2554200725162859
282,2,7,0.2438216331262441
283,3,7,0.2518265707544415
284,4,7,0.6223160627585594
285,5,7,0.6125808892427301
286,6,7,0.6915933528479595
287,7,7,0.2539244063273504
288,8,7,0.25634388744148784
289,9,7,0.6365090043884277
290,10,7,0.6254490740420113
291,11,7,0.25472888863531745
292,12,7,0.253995432431991
293,13,7,0.6988243003280659
294,14,7,0.7322626475861762
295,15,7,0.41276368708052347
296,16,7,0.7341293697312246
297,17,7,0.6392214124824519
298,18,7,0.7355403069148705
299,19,7,0.6364778543129326
300,20,7,0.7392133898995369
301,21,7,0.25224115511011624
302,22,7,0.747714922640476
303,23,7,0.6406105059181276
304,24,7,0.2613157574367165
305,25,7,0.6137364572113433
306,26,7,0.2484216709648749
307,27,7,0.6260558445178188
308,28,7,0.6419625679011141
309,29,7,0.6571745781181529
310,30,7,0.7306865199360253
311,31,7,0.2529331547406065
312,32,7,0.2578074350255667
313,33,7,0.2506166078366503
314,34,7,0.24460757572974326
315,35,7,0.2543517011279677
316,36,7,0.6264429453159941
317,37,7,0.25948989027276453
318,38,7,0.6254157835450803
319,39,7,0.6375779705898884
320,0,8,0.25893717526061727
321,1,8,0.2572511435725599
322,2,8,0.2509051748157829
323,3,8,0.2512776863545178
324,4,8,0.637153743384675
325,5,8,0.6255469870541299
326,6,8,0.6571016226678293
327,7,8,0.25236248822662233
328,8,8,0.2558163492366287
329,9,8,0.6487716840568502
330,10,8,0.6360769343916156
331,11,8,0.26000333879033655
332,12,8,0.2619934313961747
333,13,8,0.6581127687940892
334,14,8,0.6840076568633848
335,15,8,0.4023019528834666
336,16,8,0.6867231300350647
337,17,8,0.660378774238032
338,18,8,0.6807037921949957
339,19,8,0.6615229783883629
340,20,8,0.6916641806589007
341,21,8,0.2675569363604134
342,22,8,0.7094942276515015
343,23,8,0.6507935242318781
344,24,8,0.26412881949027883
345,25,8,0.6219928549866737
346,26,8,0.25450233990468335
347,27,8,0.6285569950950886
348,28,8,0.6556816275832115
349,29,8,0.6635607250148239
350,30,8,0.6843999360533335
351,31,8,0.2545357806289448
352,32,8,0.2573400855472253
353,33,8,0.25038492446211663
354,34,8,0.26198565083062286
355,35,8,0.2559474739942883
356,36,8,0.6377580355600881
357,37,8,0.2621678635642378
358,38,8,0.6335461028672588
359,39,8,0.65466518538522
360,0,9,0.2606109194243733
361,1,9,0.2649895723559162
362,2,9,0.2544120536798912
363,3,9,0.2586085211729834
364,4,9,0.6559496518758322
365,5,9,0.6419803668471196
366,6,9,0.6514135956245353
367,7,9,0.25882832610507983
368,8,9,0.2571848911406331
369,9,9,0.6515901740924578
370,10,9,0.6512871533289231
371,11,9,0.2620435254318066
372,12,9,0.2602824519240737
373,13,9,0.6488872018525069
374,14,9,0.6606471675397235
375,15,9,0.41109390670456764
376,16,9,0.6544073820492651
377,17,9,0.6539098096239104
378,18,9,0.6534502477014169
379,19,9,0.6499533291144801
380,20,9,0.6559858193390787
381,21,9,0.26049604783693264
382,22,9,0.6517150784741428
383,23,9,0.6503736699853089
384,24,9,0.27296961611925447
385,25,9,0.6431300276151896
386,26,9,0.25362789178896833
387,27,9,0.6511094960211603
388,28,9,0.6547072713385986
389,29,9,0.6486414151992149
390,30,9,0.652459741054721
391,31,9,0.26138491089824206
392,32,9,0.26947893261080347
393,33,9,0.25552471585621817
394,34,9,0.26773344545417466
395,35,9,0.25801954875663907
396,36,9,0.6536258793966291
397,37,9,0.2722950406512756
398,38,9,0.6553174006511292
399,39,9,0.6493393200445023
400,0,10,0.2640745995455205
401,1,10,0.2686493222773412
402,2,10,0.2615462064309404
403,3,10,0.27086579621265966
404,4,10,0.6443408466677939
405,5,10,0.6354458765977115
406,6,10,0.6488602474266709
407,7,10,0.2702600881840127
408,8,10,0.26205518714988485
409,9,10,0.6446925059641219
410,10,10,0.6431257165323786
411,11,10,0.26412625166742615
412,12,10,0.25987487081000404
413,13,10,0.6496257917182227
414,14,10,0.6468686017708293
415,15,10,0.41351697275064714
416,16,10,0.6474086035288102
417,17,10,0.6453092175258613
418,18,10,0.6431784997505141
419,19,10,0.6391833213717636
420,20,10,0.6473972099363048
421,21,10,0.2649086511303464
422,22,10,0.6443043620008312
423,23,10,0.643054745963153
424,24,10,0.26957239266437105
425,25,10,0.6362539233388735
426,26,10,0.2627711338532595
427,27,10,0.6469051401888013
428,28,10,0.6454504823846303
429,29,10,0.6422256293239518
430,30,10,0.6436267956945146
431,31,10,0.26252155598088234
432,32,10,0.2775142987038481
433,33,10,0.2638878202325405
434,34,10,0.26406570733138923
435,35,10,0.2668964761353063
436,36,10,0.6462440089348603
437,37,10,0.2817467555356028
438,38,10,0.6461711447412487
439,39,10,0.6535048293553833
440,0,11,0.27407631932723325
441,1,11,0.2711823546026397
442,2,11,0.2634120943287485
443,3,11,0.2720596162769352
444,4,11,0.6411214034171357
445,5,11,0.6279204353624179
